Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Estado,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0012158,OPP-0000000287,2026-09-03,2026-09,Rintusac,L & G INTERNATIONAL PARTS S.A.C.,Confirmada,SERVICIO DE FABRICACION (copiar),90000012,Otros,99.28,6.67,662.71
026-0012159,OPP-0000000280,2026-08-28,2026-08,Manuel Alvarez,INDUSTRIA DE FORTIFICACION MINERA S.A.C.,Enviada,SERVICIO MANTENIMIENTO,91000001,,1.0,150.0,150.0
026-0012160,OPP-0000000288,2026-08-28,2026-08,Mercedes Quispe,OVERPRIME MANUFACTURING S.A.C.,Cancelada,ENFRIADOR DE ACEITE HTX0367 CON AC MOTOR ELECTRICO 220/380/440 3 HP - IP55 INCL. CON. HTX32U20,40600557,Heatex,1.0,2420.0,2420.0
026-0012161,OPP-0000000288,2026-09-03,2026-09,Mercedes Quispe,OVERPRIME MANUFACTURING S.A.C.,Confirmada,ENFRIADOR COMPLETO BAP HEATEX HTX-725-2-3 M/AC P/*040903010,40600443,Heatex,1.0,2250.0,2250.0
026-0012162,OPP-0000000289,2026-09-07,2026-09,Arnold Hernández,COMPAÑIA MINERA CHUNGAR S.A.C.,Confirmada,SERVICIO REPARACION,92000001,,1.0,3960.0,3564.0
026-0012163,OPP-0000000290,2026-09-07,2026-09,Arnold Hernández,COMPAÑIA MINERA CHUNGAR S.A.C.,Confirmada,SERVICIO REPARACION,92000001,,1.0,2350.0,2115.0
026-0012164,OPP-0000000108,2026-08-28,2026-08,Mario Li,INKA TUBOS S.A.,Enviada,INTERCAMBIADOR DE PLACAS GPHE T10-BFM 100PL-TI-0.50-NBRP 30125-43745 (copiar),40100686,Alfa Laval,1.0,11617.37,11617.37
026-0012165,OPP-0000000291,2026-08-28,2026-08,Mercedes Quispe,Imbarex S.A.,Enviada,SERVICIO MANTENIMIENTO,91000001,,1.0,950.0,950.0
026-0012166,OPP-0000000280,2026-08-28,2026-08,Manuel Alvarez,INDUSTRIA DE FORTIFICACION MINERA S.A.C.,Enviada,ENFRIADOR DE ACEITE HIDR. HTXDC-011P-02-N-BW 24V DC (copiar),40600390,Heatex,1.0,540.0,540.0
026-0012167,OPP-0000000293,2026-08-28,2026-08,Arnold Hernández,ADMINISTRACION DE EMPRESAS S.A.C.,Enviada,COMBICOOLER 845483 P/. DESATADOR PAUS PSCALE 8T (copiar),40600414,Heatex,1.0,3888.0,3888.0
026-0012168,,2026-08-28,2026-08,Mario Li,G & E COMERCIALIZADORA E IMPORTADORA E.I.R.L.,Cancelada,ENFRIADOR OIL HIDR. BOWMAN FG120 1427-3TC (3P) COBRE,40200015,Bowman,2.0,1280.0,2560.0
026-0012169,OPP-0000000295,2026-09-03,2026-09,Manuel Alvarez,MICHELL Y CIA S.A.,Confirmada,SERVICIO MANTENIMIENTO,91000001,,2.0,8800.0,16368.0
026-0012170,OPP-0000000296,2026-08-31,2026-08,Jeancarlos Castillo,FRITERM PERU S.A.C.,Borrador,INTERCAMBIADOR SOLDADO ACH-502DQ-142AH-F BPHE / 3075140882,40100799,Alfa Laval,1.0,15600.0,15600.0
026-0012171,OPP-0000000297,2026-08-31,2026-08,Rintusac,RADIADORES INDUSTRIAL MBA SOCIEDAD ANONIMA CERRADA-RIMBASAC,Confirmada,MOTOR HTX0367 1.75HP AC IP66 (copiar),40600373,Heatex,50.0,8.0,400.0
026-0012172,OPP-0000000298,2026-08-31,2026-08,Mario Li,LA. BRIN INDUSTRIAL S.A.C.,Enviada,INTERCAMBIADOR SOLDADO ACH-220EQ-90L-F BPHE / 3075060656,40100280,Alfa Laval,1.0,14032.84,14032.84
026-0012172,OPP-0000000298,2026-08-31,2026-08,Mario Li,LA. BRIN INDUSTRIAL S.A.C.,Enviada,INTERCAMBIADOR SOLDADO ACH-220EQ-90L-F BPHE / 3075060656,40100280,Alfa Laval,1.0,15753.49,15753.49
