Cotizacion,Cod_Oportunidad,Fecha,Periodo,Vendedor,Cliente,Producto,Codigo,Marca,Cantidad,Precio_Unit,Monto_Sin_IGV
026-0012170,OPP-0000000296,2026-08-31,2026-08,Jeancarlos Castillo,FRITERM PERU S.A.C.,INTERCAMBIADOR SOLDADO ACH-502DQ-142AH-F BPHE / 3075140882,40100799,Alfa Laval,1.0,15600.0,15600.0
026-0012172,OPP-0000000298,2026-08-31,2026-08,Mario Li,LA. BRIN INDUSTRIAL S.A.C.,INTERCAMBIADOR SOLDADO ACH-220EQ-90L-F BPHE / 3075060656,40100280,Alfa Laval,1.0,14032.84,14032.84
026-0012172,OPP-0000000298,2026-08-31,2026-08,Mario Li,LA. BRIN INDUSTRIAL S.A.C.,INTERCAMBIADOR SOLDADO ACH-220EQ-90L-F BPHE / 3075060656,40100280,Alfa Laval,1.0,15753.49,15753.49
026-0012179,OPP-0000000303,2026-08-31,2026-08,Mario Li,"BARRA CCOLQUE JAIR RODOLFO, Jair Rodolfo Barra Ccolque",INTERCAMBIADOR SOLDADO AC-30EQ-60H-F BPHE / 3288101432,40100186,Alfa Laval,1.0,4420.0,4420.0
026-0012182,OPP-0000000279,2026-08-31,2026-08,Manuel Alvarez,INCA RAIL S.A.,SERVICIO MANTENIMIENTO,91000001,,1.0,1890.0,1890.0
026-0012185,OPP-0000000308,2026-09-01,2026-09,Manuel Alvarez,MOTORES DIESEL ANDINOS S.A.- MODASA,SERVICIO MANTENIMIENTO,91000001,,1.0,0,0
026-0012188,OPP-0000000311,2026-09-01,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,JUNTA ANULAR TL6B-EPDMP-RIB RING GASKET GPHE / 3900728128,40100583,Alfa Laval,1.0,1784.39,1748.7
026-0012188,OPP-0000000311,2026-09-01,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,JUNTA PLACA DR6B-EPDMC / CG / RIB / LP GASKET GPHE / 390084041504,40100380,Alfa Laval,1.0,836.62,819.89
026-0012188,OPP-0000000311,2026-09-01,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,JUNTA PLACA DR6B-EPDMC / CG / RIB / LP GASKET GPHE / 390084041504,40100380,Alfa Laval,1.0,871.54,854.11
026-0012188,OPP-0000000311,2026-09-01,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,JUNTA PLACA M10B-NBRB-C / RIB GASKET GPHE / 3900175607,40100091,Alfa Laval,1.0,3079.22,3017.64
026-0012188,OPP-0000000311,2026-09-01,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,"PK / ARM. T6-B, LT, SS316, 0.5, NBRB GPHE / 8061000760",40100512,Alfa Laval,1.0,4699.41,4605.42
026-0012189,OPP-0000000312,2026-09-01,2026-09,Mario Li,TP INTERCAMBIADORES S.A.C.,INTERCAMBIADOR DE PLACAS GPHE TL6-BFG 50PL-316-0.50-EPDMP EN1092,40100353,Alfa Laval,1.0,7673.83,7520.35
